Governorate,Facility_Type,Administration,Facility_Name,Facility_Type_EN,Administration_EN,Facility_Name_EN
Ismailia,وحدة,إدارة التل الكبير,أبو عاشور,Wehda,Idaret_ElTal_ElKabir,Abu_Ashour
Ismailia,وحدة,إدارة اسماعلية,أبو عطوة,Wehda,Idaret_Ismailia,Abu_Atwa
Ismailia,وحدة,إدارة أبو صوير,ابو صوير المحطة,Wehda,Idaret_Abu_Suweir,Abu_Suweir_ElMahatta
Ismailia,وحدة,إدارة القنطرة غرب,ابوطفيله,Wehda,Idaret_ElQantara_Gharb,Abwtfylh
Ismailia,وحدة,إدارة القنطرة شرق,الابطال,Wehda,Idaret_ElQantara_Shark,ElAbtaal
Ismailia,وحدة,إدارة التل الكبير,البعلوة الكبرى,Wehda,Idaret_ElTal_ElKabir,ElBaaloua_ElKobra
Ismailia,وحدة,إدارة القنطرة غرب,البياضية,Wehda,Idaret_ElQantara_Gharb,ElBayadiya
Ismailia,وحدة,إدارة القنطرة شرق,التقدم,Wehda,Idaret_ElQantara_Shark,ElTaqadom
Ismailia,وحدة,إدارة القنطرة غرب,الروضة,Wehda,Idaret_ElQantara_Gharb,Elrwda
Ismailia,وحدة,إدارة القنطرة غرب,الرياح,Wehda,Idaret_ElQantara_Gharb,ElReah
Ismailia,وحدة,إدارة أبو صوير,السبع أبار غرب,Wehda,Idaret_Abu_Suweir,ElSabaa_Abar_Gharb
Ismailia,وحدة,إدارة أبو صوير,السبع ابار الشرقية,Wehda,Idaret_Abu_Suweir,ElSabaa_Abar_ElSharqiya
Ismailia,وحدة,إدارة اسماعلية,السبع بنات,Wehda,Idaret_Ismailia,ElSabaa_Banat
Ismailia,وحدة,إدارة فايد,السعيدية,Wehda,Idaret_Fayed,ElSaediya
Ismailia,وحدة,إدارة التل الكبير,السلام و المحطة,Wehda,Idaret_ElTal_ElKabir,ElSalam_Wa_ElMahatta
Ismailia,وحدة,إدارة القصاصين,السويدات,Wehda,Idaret_ElQassasin,ElSwedat
Ismailia,وحدة,إدارة اسماعلية,الضبعية,Wehda,Idaret_Ismailia,ElDabiya
Ismailia,وحدة,إدارة التل الكبير,الظاهرية,Wehda,Idaret_ElTal_ElKabir,ElZahria
Ismailia,وحدة,إدارة القنطرة شرق,العبور,Wehda,Idaret_ElQantara_Shark,ElAbour
Ismailia,وحدة,إدارة التل الكبير,العهدة,Wehda,Idaret_ElTal_ElKabir,ElAhda
Ismailia,وحدة,إدارة القصاصين,القصاصين,Wehda,Idaret_ElQassasin,ElQassasin
Ismailia,وحدة,إدارة القنطرة غرب,الكيلو 14,Wehda,Idaret_ElQantara_Gharb,ElKilo_14
Ismailia,وحدة,إدارة اسماعلية,الكيلو 2,Wehda,Idaret_Ismailia,ElKilo_2
Ismailia,وحدة,إدارة اسماعلية,الكيلو11,Wehda,Idaret_Ismailia,Elkylw11
Ismailia,وحدة,إدارة أبو صوير,المحسمة الجديدة,Wehda,Idaret_Abu_Suweir,ElMahasma_ElGedida
Ismailia,وحدة,إدارة أبو صوير,المنايف,Wehda,Idaret_Abu_Suweir,ElManaef
Ismailia,وحدة,إدارة القصاصين,الهيش,Wehda,Idaret_ElQassasin,ElHeish
Ismailia,وحدة,إدارة القصاصين,الوادى الأخضر,Wehda,Idaret_ElQassasin,ElWady_ElAkhdar
Ismailia,وحدة,إدارة القصاصين,تل ثمود,Wehda,Idaret_ElQassasin,Tel_Thamoud
Ismailia,وحدة,إدارة القنطرة شرق,جلبانه,Wehda,Idaret_ElQantara_Shark,Galbana
Ismailia,وحدة,إدارة اسماعلية,عين غصين,Wehda,Idaret_Ismailia,Ein_Ghosein
Ismailia,وحدة,إدارة فايد,فنارة,Wehda,Idaret_Fayed,Fanara
Ismailia,وحدة,إدارة فايد,كسفريت,Wehda,Idaret_Fayed,Kasfrit
Ismailia,وحدة,إدارة التل الكبير,وادى الملاك,Wehda,Idaret_ElTal_ElKabir,Wady_Elmlak
Luxor,مركز,إدارة ارمنت,أرمنت الحيط,Markaz,Idaret_Armant,Armant_ElHeit
Luxor,مركز,إدارة اسنا,أصفون,Markaz,Idaret_Esna,Asfwn
Luxor,مركز,إدارة اسنا,إسنا,Markaz,Idaret_Esna,Esna
Luxor,مركز,إدارة بندر,الاقصر,Markaz,Idaret_Bandar,ElAqsor
Luxor,مركز,إدارة البياضية,البياضية,Markaz,Idaret_ElBayadiya,ElBayadiya
Luxor,مركز,إدارة اسنا,الدير,Markaz,Idaret_Esna,Eldyr
Luxor,مركز,إدارة الطود,الطود,Markaz,Idaret_ElToud,ElToud
Luxor,مركز,إدارة بندر,العوامية,Markaz,Idaret_Bandar,ElAwamia
Luxor,مركز,إدارة القرنة,القرنة,Markaz,Idaret_ElQurna,ElQurna
Luxor,مركز,إدارة بندر,الكرنك الجديد,Markaz,Idaret_Bandar,ElKarnak_Elgdyd
Luxor,مركز,إدارة الضبعية,امومه وطفوله الضبعية,Markaz,Idaret_ElDabiya,Omuma_WaTefoula_ElDabiya
Luxor,مركز,إدارة الزينية,امومه وطفوله بالزينيه,Markaz,Idaret_ElZeniya,Omuma_WaTefoula_BelZeniya
Luxor,مركز,إدارة الزينية,امومه وطفوله بالعشى,Markaz,Idaret_ElZeniya,Omuma_WaTefoula_BelAshy
Luxor,مركز,إدارة اسنا,امومه وطفوله بالكيمان,Markaz,Idaret_Esna,Omuma_WaTefoula_BelKiman
Luxor,مركز,إدارة ارمنت,حميات أرمنت,Markaz,Idaret_Armant,Hamiyat_Armant
Luxor,مركز,إدارة بندر,منشأة العمارى,Markaz,Idaret_Bandar,Manshaa_ElOmary
Luxor,مستشفى,إدارة بندر,مجمع الأقصر الدولى الطبي,Mostashfa,Idaret_Bandar,Magmaa_ElAqsor_ElDawly_ElTebbi
Luxor,مستشفى,إدارة ارمنت,مستشفى أرمنت المركزى,Mostashfa,Idaret_Armant,Mostashfa_Armant_ElMarkazy
Luxor,مستشفى,إدارة اسنا,مستشفى إسنا المركزى,Mostashfa,Idaret_Esna,Mostashfa_Esna_ElMarkazy
Luxor,مستشفى,إدارة بندر,مستشفى الأقصر العام,Mostashfa,Idaret_Bandar,Mostashfa_ElAqsor_ElAam
Luxor,مستشفى,إدارة البياضية,مستشفى البياضية المركزى,Mostashfa,Idaret_ElBayadiya,Mostashfa_ElBayadiya_ElMarkazy
Luxor,مستشفى,إدارة الطود,مستشفى العديسات المركزى,Mostashfa,Idaret_ElToud,Mostashfa_El3dysat_ElMarkazy
Luxor,وحدة,إدارة ارمنت,أرمنت الوبورات,Wehda,Idaret_Armant,Armant_Elwbwrat
Luxor,وحدة,إدارة ارمنت,ابودغار,Wehda,Idaret_Armant,AbuDaghar
Luxor,وحدة,إدارة القرنة,ال عثمان,Wehda,Idaret_ElQurna,El_Othman
Luxor,وحدة,إدارة القرنة,الأقالتة,Wehda,Idaret_ElQurna,ElAqalta
Luxor,وحدة,إدارة القرنة,البعيرات,Wehda,Idaret_ElQurna,ElBaeirat
Luxor,وحدة,إدارة البياضية,البغدادي,Wehda,Idaret_ElBayadiya,ElBaghdady
Luxor,وحدة,إدارة البياضية,الحبيل,Wehda,Idaret_ElBayadiya,ElHabeel
Luxor,وحدة,إدارة اسنا,الحلة,Wehda,Idaret_Esna,ElHala
Luxor,وحدة,إدارة اسنا,الحليلة,Wehda,Idaret_Esna,ElHoleila
Luxor,وحدة,إدارة اسنا,الدبابية,Wehda,Idaret_Esna,ElDababiya
Luxor,وحدة,إدارة اسنا,الدقيرة,Wehda,Idaret_Esna,ElDaqira
Luxor,وحدة,إدارة ارمنت,الرزيقات بحري,Wehda,Idaret_Armant,ElRaziqat_Bahri
Luxor,وحدة,إدارة ارمنت,الرزيقات قبلي,Wehda,Idaret_Armant,ElRaziqat_Qebli
Luxor,وحدة,إدارة ارمنت,الرياينه,Wehda,Idaret_Armant,ElRayayna
Luxor,وحدة,إدارة القرنة,الزمامي,Wehda,Idaret_ElQurna,ElZamamy
Luxor,وحدة,إدارة بندر,الزناقطة,Wehda,Idaret_Bandar,ElZanaqeta
Luxor,وحدة,إدارة اسنا,الزنيقة,Wehda,Idaret_Esna,ElZonaiqah
Luxor,وحدة,إدارة اسنا,الشغب,Wehda,Idaret_Esna,ElShaghab
Luxor,وحدة,إدارة بندر,الشيخ موسى,Wehda,Idaret_Bandar,ElSheikh_Moussa
Luxor,وحدة,إدارة الطود,الضمان,Wehda,Idaret_ElToud,ElDaman
Luxor,وحدة,إدارة الطود,العديسات قبلي,Wehda,Idaret_ElToud,El3dysat_Qebli
Luxor,وحدة,إدارة اسنا,العضايمة,Wehda,Idaret_Esna,ElAdayma
Luxor,وحدة,إدارة اسنا,الغريرة,Wehda,Idaret_Esna,ElGhoreera
Luxor,وحدة,إدارة بندر,القباح غرب,Wehda,Idaret_Bandar,ElQobah_Gharb
Luxor,وحدة,إدارة القرنة,القبلى قامولا,Wehda,Idaret_ElQurna,ElQebly_Qamola
Luxor,وحدة,إدارة اسنا,القرايا,Wehda,Idaret_Esna,ElQaraya
Luxor,وحدة,إدارة الزينية,المدامود,Wehda,Idaret_ElZeniya,ElMadamoud
Luxor,وحدة,إدارة الطود,المريس,Wehda,Idaret_ElToud,ElMereis
Luxor,وحدة,إدارة اسنا,النجوع بحري,Wehda,Idaret_Esna,ElNogoa_Bahri
Luxor,وحدة,إدارة اسنا,النمسا,Wehda,Idaret_Esna,ElNemsa
Luxor,وحدة,إدارة اسنا,الهنادي,Wehda,Idaret_Esna,ElHanady
